,Rank,Team,Match,Points,Rating
0,1,"New Zealand
NZ",17,"2,054",121
1,2,"Australia
AUS",25,"2,945",118
2,3,"India
IND",29,"3,344",115
3,4,"England
ENG",27,"3,100",115
4,5,"South Africa
SA",20,"2,137",107
5,6,"Pakistan
PAK",24,"2,323",97
6,7,"Bangladesh
BAN",27,"2,438",90
7,8,"West Indies
WI",27,"2,222",82
8,9,"Sri Lanka
SL",24,"1,876",78
9,10,"Afghanistan
AFG",17,"1,054",62
10,11,"Netherlands
NED",7,336,48
11,12,"Ireland
IRE",21,897,43
12,13,"Zimbabwe
ZIM",15,588,39
13,14,"Scotland
SCO",7,258,37
14,15,"Oman
OMA",7,240,34
15,16,"Nepal
NEP",5,119,24
16,17,"UAE
UAE",9,190,21
17,18,"Namibia
NAM",6,97,16
18,19,"United States
USA",8,93,12
19,20,"Papua New Guinea
PNG",5,0,0
